munjip_id	문집	文集	성명	姓名	birthyear	birthyear2	deathyear	deathyear2	ancestralseat	choronym	uci	biog_id	encykorea
ITKC_MI_0044A	별동집	別洞集	윤상	尹祥	1373		1455		醴泉	醴泉 尹	G002+AKS-KHF_12C724C0C1FFFFB1373X0	PPL_6JOa_A1373_1_0008514	E0042372
ITKC_MI_0045A	국당유고	菊堂遺稿	박흥생	朴興生	1374		1446		密陽	密陽 朴	G002+AKS-KHF_13BC15D765C0DDB1374X0	PPL_6JOa_A1374_1_0004890	E0021404
ITKC_MI_0046A	인재집	寅齋集	신개	申槩	1374		1446		平山	平山 申	G002+AKS-KHF_12C2E0AC1CFFFFB1374X0	PPL_6JOa_A1374_1_0006221	E0032612
ITKC_MI_0047A	경재집	敬齋集	하연	河演	1376		1453		晉州	晉州 河	G002+AKS-KHF_12D558C5F0FFFFB1376X0	PPL_6JOa_A1376_1_0014096	E0060659
ITKC_MI_0048A	정재일고	貞齋逸稿	박의중	朴宜中	1337		1403		密陽	密陽 朴		PPL_6JOa_A1337_1_0004612	E0021043
ITKC_MI_0049A	단계유고	丹溪遺稿	하위지	河緯地	1412		1456		丹城	丹城 河	G002+AKS-KHF_13D558C704C9C0B1412X0	PPL_6JOa_A1412_1_0014097	E0060670
ITKC_MI_0050A	태재집	泰齋集	유방선	柳方善	1388		1443		瑞山	瑞山 柳	G002+AKS-KHF_13C720BC29FFFFB1388X0	PPL_6JOa_A1388_1_0008004	E0041440
ITKC_MI_0051A	불우헌집	不憂軒集	정극인	丁克仁	1401		1481		靈光	靈光 丁	G002+AKS-KHF_13C815ADF9C778B1401X0	PPL_6JOa_A1401_1_0011910	E0050008
ITKC_MI_0052A	경재유고	敬齋遺稿	남수문	南秀文	1408		1442		固城	固城 南	G002+AKS-KHF_13B0A8C218BB38B1408X0	PPL_6JOa_A1408_1_0003298	E0011987
ITKC_MI_0053A	식우집	拭疣集	김수온	金守溫	1409	1410	1481		永同	永同 金	G002+AKS-KHF_13AE40C218C628B1409X0	PPL_6JOa_A1410_1_0001947	E0009568
ITKC_MI_0054A	태허정집	太虛亭集	최항	崔恒	1409		1474		朔寧	朔寧 崔	G002+AKS-KHF_12CD5CD56DFFFFB1409X0	PPL_6JOa_A1409_1_0013899	E0057745
ITKC_MI_0055A	관란유고	觀瀾遺稿	원호	元昊					原州	原州 元	G002+AKS-KHF_12C6D0D638FFFFU9999X0	PPL_6JOa_A9999_1_0007844	E0040895
ITKC_MI_0056A	눌재집	訥齋集	양성지	梁誠之	1415		1482		南原	南原 梁	G002+AKS-KHF_13C591C131C9C0B1415X0	PPL_6JOa_A1415_1_0007039	E0035611
ITKC_MI_0057A	저헌집	樗軒集	이석형	李石亨	1415		1477		延安	延安 李	G002+AKS-KHF_13C774C11DD615B1415X0	PPL_6JOa_A1415_1_0009725	E0044677
ITKC_MI_0058A	박선생유고	朴先生遺稿	박팽년	朴彭年	1417		1456		順天	順天 朴	G002+AKS-KHF_13BC15D33DB144B1417X0	PPL_6JOa_A1417_1_0004824	E0021321
ITKC_MI_0059A	보한재집	保閑齋集	신숙주	申叔舟	1417		1475		高靈	高靈 申	G002+AKS-KHF_13C2E0C219C8FCB1417X0	PPL_6JOa_A1417_1_0006393	E0033134
ITKC_MI_0060A	성근보집	成謹甫集	성삼문	成三問	1418		1456		昌寧	昌寧 成	G002+AKS-KHF_13C131C0BCBB38B1418X0	PPL_6JOa_A1418_1_0005692	
ITKC_MI_0061A	사가집	四佳集	서거정	徐居正	1420		1488		達城	達城 徐	G002+AKS-KHF_13C11CAC70C815B1420X0	PPL_6JOa_A1420_1_0005362	E0027569
ITKC_MI_0062A	어계집	漁溪集	조려	趙旅	1420		1489		咸安	咸安 趙		PPL_6JOa_A1420_1_0012620	E0051701
ITKC_MI_0063A	삼탄집	三灘集	이승소	李承召	1422		1484		陽城	陽城 李	G002+AKS-KHF_13C774C2B9C18CB1422X0	PPL_6JOa_A1422_1_0009916	E0044944
ITKC_MI_0064A	사숙재집	私淑齋集	강희맹	姜希孟	1424		1483		晉州	晉州 姜	G002+AKS-KHF_13AC15D76CB9F9B1424X0	PPL_6JOa_A1424_1_0000261	E0001550
ITKC_MI_0065A	진일유고	眞逸遺藁	성간	成侃	1427		1456		昌寧	昌寧 成	G002+AKS-KHF_12C131AC04FFFFB1427X0	PPL_6JOa_A1427_1_0005644	E0029163
ITKC_MI_0066A	점필재집	佔畢齋集	김종직	金宗直	1431		1492		善山	善山 金	G002+AKS-KHF_13AE40C885C9C1B1431X0	PPL_6JOa_A1431_1_0002683	E0010507
ITKC_MI_0067A	소총유고	篠䕺遺稿	홍유손	洪裕孫	1452	1431	1529		南陽	南陽 洪		PPL_6JOa_A1431_1_0014877	E0064314
ITKC_MI_0068A	소요재집	逍遙齋集	최숙정	崔淑精	1432		1480	1479	陽川	陽川 崔	G002+AKS-KHF_13CD5CC219C815B1432X0	PPL_6JOa_A1435_1_0013648	E0057420
ITKC_MI_0069A	매월당집	梅月堂集	김시습	金時習	1435		1493		江陵	江陵 金		PPL_6JOa_A1435_1_0002032	E0009666
ITKC_MI_0070A	청파집	靑坡集	이륙	李陸	1438		1498		固城	固城 李	G002+AKS-KHF_12C774B959FFFFB1438X0	PPL_6JOa_A1438_1_0009361	E0044123
ITKC_MI_0071A	허백정집	虛白亭集	홍귀달	洪貴達	1438		1504		缶溪	缶溪 洪	G002+AKS-KHF_13D64DADC0B2ECB1438X0	PPL_6JOa_A1438_1_0014695	E0063983
ITKC_MI_0072A	허백당집	虛白堂集	성현	成俔	1439		1504		昌寧	昌寧 成	G002+AKS-KHF_12C131D604FFFFB1439X0	PPL_6JOa_A1439_1_0005775	E0029691
ITKC_MI_0073A	대봉집	大峯集	양희지	楊熙止	1439		1504		中和	中和 楊	G002+AKS-KHF_13C591D76CC9C0B1439X0	PPL_6JOa_A1439_1_0007117	E0035889
ITKC_MI_0074A	격재집	格齋集	손조서	孫肇瑞					一直	一直 孫	G002+AKS-KHF_13C190C870C11CU9999X0	PPL_6JOa_A9999_1_0005896	E0030568
ITKC_MI_0075A	뇌계집	㵢谿集	유호인	兪好仁	1445		1494		高靈	高靈 兪	G002+AKS-KHF_13C720D638C778B1445X0	PPL_6JOa_A1445_1_0008349	E0042011
ITKC_MI_0076A	안락당집	顔樂堂集	김흔	金訢	1448		1492		延安	延安 金	G002+AKS-KHF_12AE40D754FFFFB1448X0	PPL_6JOa_A1448_1_0003141	E0011154
ITKC_MI_0077A	연헌잡고	蓮軒雜稿	이의무	李宜茂	1449		1507		德水	德水 李	G002+AKS-KHF_13C774C758BB34B1449X0	PPL_6JOa_A1449_1_0010317	E0045519
ITKC_MI_0078A	나재집	懶齋集	채수	蔡壽	1449		1515		仁川	仁川 蔡	G002+AKS-KHF_12CC44C218FFFFB1449X0	PPL_6JOa_A1449_1_0013354	E0055617
ITKC_MI_0079A	남계집	藍溪集	표연말	表沿沫	1449		1498		新昌	新昌 表	G002+AKS-KHF_13D45CC5F0B9D0B1449X0	PPL_6JOa_A1449_1_0014060	E0060248
ITKC_MI_0080A	일두집	一蠧集	정여창	鄭汝昌	1450		1504		河東	河東 鄭	G002+AKS-KHF_13C815C5ECCC3DB1450X0	PPL_6JOa_A1450_1_0012183	E0050583
ITKC_MI_0081A	추강집	秋江集	남효온	南孝溫	1454		1492		宜寧	宜寧 南		PPL_6JOa_A1454_1_0003369	E0012316
ITKC_MI_0082A	월헌집	月軒集	정수강	丁壽崗	1454		1527		押海	押海 丁	G002+AKS-KHF_13C815C218AC15B1454X0	PPL_6JOa_A1454_1_0012104	E0050441
ITKC_MI_0083A	매계집	梅溪集	조위	曺偉	1454		1503		昌寧	昌寧 曺	G002+AKS-KHF_12C870C704FFFFB1454X0	PPL_6JOa_A1454_1_0012841	E0052455
ITKC_MI_0084A	금남집	錦南集	최부	崔溥	1454		1504		耽津	耽津 崔	G002+AKS-KHF_12CD5CBD80FFFFB1454X0	PPL_6JOa_A1454_1_0013574	E0057325
ITKC_MI_0085A	사우정집	四雨亭集	이식	李湜	1458		1488	1489	全州	全州 李	G002+AKS-KHF_12C774C2DDFFFFU9999X3	PPL_6JOa_A1458_1_0016373	
ITKC_MI_0086A	산당집	山堂集	최충성	崔忠成	1458		1491		全州	全州 崔			
ITKC_MI_0087A	용재유고	慵齋遺稿	이종준	李宗準			1499		慶州	慶州 李	G002+AKS-KHF_13C774C885C900D1499X0	PPL_6JOa_A9999_1_0010626	E0045946
ITKC_MI_0088A	재사당일집	再思堂逸集	이원	李黿			1504		慶州	慶州 李	G002+AKS-KHF_12C774C6D0FFFFD1504X0	PPL_6JOa_A9999_1_0010178	E0045336
ITKC_MI_0089A	정문익공유고	鄭文翼公遺稿	정광필	鄭光弼	1462		1538		東萊	東萊 鄭	G002+AKS-KHF_13C815AD11D544B1462X0	PPL_6JOa_A1462_1_0011885	E0049972
ITKC_MI_0090A	이요정집	二樂亭集	신용개	申用漑	1463		1519		高靈	高靈 申	G002+AKS-KHF_13C2E0C6A9AC1CB1463X0	PPL_6JOa_A1463_1_0006420	E0033222
ITKC_MI_0091A	목계일고	木溪逸稿	강혼	姜渾	1464		1519		晉州	晉州 姜	G002+AKS-KHF_12AC15D63CFFFFB1464X0	PPL_6JOa_A1464_1_0000251	E0001495
ITKC_MI_0092A	탁영집	濯纓集	김일손	金馹孫	1464		1498		金海	金海 金	G002+AKS-KHF_13AE40C77CC190B1464X0	PPL_6JOa_A1464_1_0002528	E0010281
ITKC_MI_0093A	수헌집	睡軒集	권오복	權五福	1467		1498		醴泉	醴泉 權	G002+AKS-KHF_13AD8CC624BCF5B1467X0	PPL_6JOa_A1467_1_0000887	E0007001
ITKC_MI_0094A	농암집	聾巖集	이현보	李賢輔	1467		1555		永川	永川 李	G002+AKS-KHF_13C774D604BCF4B1467X0	PPL_6JOa_A1467_1_0011021	E0046501
ITKC_MI_0095A	망헌유고	忘軒遺稿	이주	李胄	1468		1504		固城	固城 李	G002+AKS-KHF_12C774C8FCFFFFB1468X0	PPL_6JOa_A1468_1_0010640	E0045963
ITKC_MI_0096A	송재집	松齋集	이우	李堣	1469		1517		眞寶	眞寶 李	G002+AKS-KHF_12C774C6B0FFFFB1432X0	PPL_6JOa_A1469_1_0010146	E0045282
ITKC_MI_0097A	허암유집	虛庵遺集	정희량	鄭希良	1469				海州	海州 鄭	G002+AKS-KHF_13C815D76CB7C9B1469X0	PPL_6JOa_A1469_1_0012506	E0051210
ITKC_MI_0098A	송당집	松堂集	박영	朴英	1471		1540		密陽	密陽 朴		PPL_6JOa_A1471_1_0004517	E0020930
ITKC_MI_0099A	이평사집	李評事集	이목	李穆	1471		1498		全州	全州 李	G002+AKS-KHF_12C774BAA9FFFFB1471X0		
ITKC_MI_0100A	십청집	十淸集	김세필	金世弼	1473		1533		慶州	慶州 金	G002+AKS-KHF_13AE40C138D544B1473X0	PPL_6JOa_A1473_1_0001910	E0009524
ITKC_MI_0101A	안분당시집	安分堂詩集	이희보	李希輔	1473		1548		平壤	平壤 李	G002+AKS-KHF_13C774D76CBCF4B1473X0	PPL_6JOa_A1473_1_0011182	E0046721
ITKC_MI_0102A	우암고	寓菴稿	홍언충	洪彥忠	1473		1508		缶溪	缶溪 洪			
ITKC_MI_0103A	우정집	憂亭集	김극성	金克成	1474		1540		光山	光山 金	G002+AKS-KHF_13AE40ADF9C131B1474X0	PPL_6JOa_A1474_1_0001314	E0008797
ITKC_MI_0104A	눌재집	訥齋集	박상	朴祥	1474		1530		忠州	忠州 朴	G002+AKS-KHF_12BC15C0C1FFFFB1474X0	PPL_6JOa_A1474_1_0004369	E0020750
ITKC_MI_0105A	대관재난고	大觀齋亂稿	심의	沈義	1475				豐山	豐山 沈	G002+AKS-KHF_12C2ECC758FFFFB1475X0	PPL_6JOa_A1475_1_0006668	E0033895
ITKC_MI_0106A	묵재집	默齋集	홍언필	洪彥弼	1476		1549		南陽	南陽 洪			
ITKC_MI_0107A	충재집	冲齋集	권벌	權橃	1478		1548		安東	安東 權	G002+AKS-KHF_12AD8CBC8CFFFFB1478X0	PPL_6JOa_A1478_1_0000817	E0006915
ITKC_MI_0108A	모재집	慕齋集	김안국	金安國	1478		1543		義城	義城 金	G002+AKS-KHF_13AE40C548AD6DB1478X0	PPL_6JOa_A1478_1_0002076	E0009720
ITKC_MI_0109A	용재집	容齋集	이행	李荇	1478		1534		德水	德水 李	G002+AKS-KHF_12C774D589FFFFB1478X0	PPL_6JOa_A1478_1_0010987	E0046453
ITKC_MI_0110A	읍취헌유고	挹翠軒遺稿	박은	朴誾	1479		1504		高靈	高靈 朴	G002+AKS-KHF_12BC15C740FFFFB1479X0	PPL_6JOa_A1479_1_0004594	E0021024
ITKC_MI_0111A	음애집	陰崖集	이자	李耔	1480		1533		韓山	韓山 李	G002+AKS-KHF_12C774C790FFFFB1480X0	PPL_6JOa_A1480_1_0010429	E0045665
ITKC_MI_0112A	학포집	學圃集	양팽손	梁彭孫	1488		1545		濟州	濟州 梁	G002+AKS-KHF_13C591D33DC190B1488X0	PPL_6JOa_A1488_1_0007100	E0035825
ITKC_MI_0113A	희락당고	希樂堂稿	김안로	金安老	1481		1537		延安	延安 金	G002+AKS-KHF_13AE40C548B85CB1481X0	PPL_6JOa_A1481_1_0002077	E0009722
ITKC_MI_0114A	정암집	靜菴集	조광조	趙光祖	1482		1519		漢陽	漢陽 趙	G002+AKS-KHF_13C870AD11C870B1482X0	PPL_6JOa_A1482_1_0012564	E0051606
ITKC_MI_0115A	월연집	月淵集	이태	李迨	1483		1536		驪州	驪州 李	G002+AKS-KHF_12C774D0DCFFFFB1483X0	PPL_6JOa_A1483_1_0010901	E0046316
ITKC_MI_0116A	기재집	企齋集	신광한	申光漢	1484		1555		高靈	高靈 申	G002+AKS-KHF_13C2E0AD11D55CB1484X0	PPL_6JOa_A1484_1_0006251	E0032684
ITKC_MI_0117A	사재집	思齋集	김정국	金正國	1485		1541		義城	義城 金	G002+AKS-KHF_13AE40C815AD6DB1485X0	PPL_6JOa_A1485_1_0002601	E0010379
ITKC_MI_0118A	충암집	冲庵集	김정	金淨	1486		1521		慶州	慶州 金	G002+AKS-KHF_12AE40C815FFFFB1486X0	PPL_6JOa_A1486_1_0002595	E0010372
ITKC_MI_0119A	양곡집	陽谷集	소세양	蘇世讓	1486		1562		晉州	晉州 蘇	G002+AKS-KHF_13C18CC138C591B1486X0	PPL_6JOa_A1486_1_0005814	E0030135
ITKC_MI_0120A	송재집	松齋集	한충	韓忠	1486		1521		淸州	淸州 韓	G002+AKS-KHF_12D55CCDA9FFFFB1486X0	PPL_6JOa_A1486_1_0014333	E0062027
ITKC_MI_0121A	규암집	圭菴集	송인수	宋麟壽	1499		1547		恩津	恩津 宋	G002+AKS-KHF_13C1A1C778C218B1499X0	PPL_6JOa_A1499_1_0006065	E0031018
ITKC_MI_0122A	어촌집	漁村集	심언광	沈彥光	1487		1540		三陟	三陟 沈			
ITKC_MI_0123A	자암집	自菴集	김구	金絿	1488		1534		光州	光州 金	G002+AKS-KHF_12AE40AD6CFFFFB1488X0	PPL_6JOa_A1488_1_0001270	E0008751
ITKC_MI_0124A	화담집	花潭集	서경덕	徐敬德	1489		1546		唐城	唐城 徐	G002+AKS-KHF_13C11CACBDB355B1489X0	PPL_6JOa_A1489_1_0005364	E0027580
ITKC_MI_0125A	회재집	晦齋集	이언적	李彥迪	1491		1553		驪州	驪州 李			
ITKC_MI_0126A	호음잡고	湖陰雜稿	정사용	鄭士龍	1491		1570		東萊	東萊 鄭	G002+AKS-KHF_13C815C0ACB8E1B1491X0	PPL_6JOa_A1491_1_0012049	E0050307
ITKC_MI_0127A	덕양유고	德陽遺稿	기준	奇遵	1492		1521		幸州	幸州 奇	G002+AKS-KHF_12AE30C900FFFFB1492X0	PPL_6JOa_A1492_1_0001092	E0008441
ITKC_MI_0128A	양심당집	養心堂集	조성	趙晟	1492		1555		平壤	平壤 趙		PPL_6JOa_A1492_1_0012739	E0052280
ITKC_MI_0129A	입암집	立巖集	민제인	閔齊仁	1493		1549		驪興	驪興 閔	G002+AKS-KHF_13BBFCC81CC778B1493X0	PPL_6JOa_A1493_1_0004105	E0020254
ITKC_MI_0130A	범허정집	泛虛亭集	상진	尙震	1493		1564		木川	木川 尙	G002+AKS-KHF_12C0C1C9C4FFFFB1493X0	PPL_6JOa_A1493_1_0005355	E0027352
ITKC_MI_0131A	청송집	聽松集	성수침	成守琛	1493		1564		昌寧	昌寧 成		PPL_6JOa_A1493_1_0005706	E0029400
ITKC_MI_0132A	면앙집	俛仰集	송순	宋純	1493		1582		新平	新平 宋	G002+AKS-KHF_12C1A1C21CFFFFB1493X0	PPL_6JOa_A1493_1_0006016	E0030890
ITKC_MI_0133A	잠암일고	潛庵逸稿	김의정	金義貞	1495		1547		豐山	豐山 金	G002+AKS-KHF_13AE40C758C815B1495X0	PPL_6JOa_A1495_1_0002436	E0010170
ITKC_MI_0134A	무릉잡고	武陵雜稿	주세붕	周世鵬	1495		1554		尙州	尙州 周	G002+AKS-KHF_13C8FCC138BD95B1495X0	PPL_6JOa_A1495_1_0013090	E0053318
ITKC_MI_0135A	온계일고	溫溪逸稿	이해	李瀣	1496		1550		眞寶	眞寶 李	G002+AKS-KHF_12C774D574FFFFB1496X0	PPL_6JOa_A1496_1_0010974	E0046436
ITKC_MI_0136A	석천시집	石川詩集	임억령	林億齡	1496		1568		善山	善山 林	G002+AKS-KHF_13C784C5B5B839B1496X0	PPL_6JOa_A1496_1_0011362	E0047543
ITKC_MI_0137A	대곡집	大谷集	성운	成運	1497		1579		昌寧	昌寧 成	G002+AKS-KHF_12C131C6B4FFFFB1497X0	PPL_6JOa_A1497_1_0005724	E0029467
ITKC_MI_0138A	송재유고	松齋遺稿	나세찬	羅世纘	1498		1551		羅州	羅州 羅	G002+AKS-KHF_13B098C138CC2CB1498X0	PPL_6JOa_A1498_1_0003197	E0011390
ITKC_MI_0139A	장음정유고	長吟亭遺稿	나식	羅湜	1498		1546		安定	安定 羅	G002+AKS-KHF_12B098C2DDFFFFB1498X0	PPL_6JOa_A1498_1_0003200	E0011396
ITKC_MI_0140A	용문집	龍門集	조욱	趙昱	1498		1557		平壤	平壤 趙		PPL_6JOa_A1498_1_0012825	E0052434
ITKC_MI_0141A	동고유고	東皐遺稿	이준경	李浚慶	1499		1572		廣州	廣州 李	G002+AKS-KHF_13C774C900ACBDB1499X0	PPL_6JOa_A1499_1_0010659	E0045986
ITKC_MI_0142A	일재집	一齋集	이항	李恒	1499		1576		星州	星州 李		PPL_6JOa_A1499_1_0010966	E0046422
ITKC_MI_0143A	갈천집	葛川集	임훈	林薰	1500		1584		恩津	恩津 林	G002+AKS-KHF_12C784D6C8FFFFB1537X0	PPL_6JOa_A1500_1_0011476	E0047770
ITKC_MI_0144A	퇴계집	退溪集	이황	李滉	1501		1570		眞寶	眞寶 李	G002+AKS-KHF_12C774D669FFFFB1501X0		
ITKC_MI_0145A	남명집	南冥集	조식	曺植	1501		1572		昌寧	昌寧 曺		PPL_6JOa_A1501_1_0012774	E0052336
ITKC_MI_0146A	간재집	艮齋集	최연	崔演	1503		1549		江陵	江陵 崔	G002+AKS-KHF_12CD5CC5F0FFFFB1500X0	PPL_6JOa_A1503_1_0013677	E0057463
ITKC_MI_0147A	금호유고	錦湖遺稿	임형수	林亨秀	1514		1547		平澤	平澤 林	G002+AKS-KHF_13C784D615C218B1514X0	PPL_6JOa_A1504_1_0011465	E0047749
ITKC_MI_0148A	인재집	忍齋集	홍섬	洪暹	1504		1585		南陽	南陽 洪	G002+AKS-KHF_12D64DC12CFFFFB1504X0	PPL_6JOa_A1504_1_0014795	E0064163
ITKC_MI_0149A	추파집	秋坡集	송기수	宋麒壽	1507		1581		恩津	恩津 宋	G002+AKS-KHF_13C1A1AE30C218B1507X0	PPL_6JOa_A1507_1_0005942	E0030727
ITKC_MI_0150A	십성당집	十省堂集	엄흔	嚴昕	1508		1543	1553	寧越	寧越 嚴	G002+AKS-KHF_12C5C4D754FFFFB1508X0	PPL_6JOa_A1508_1_0007181	E0036241
ITKC_MI_0151A	하서전집	河西全集	김인후	金麟厚	1510		1560		蔚山	蔚山 金	G002+AKS-KHF_13AE40C778D6C4U9999X0	PPL_6JOa_A1510_1_0002521	E0010265
ITKC_MI_0152A	우암유집	寓庵遺集	김주	金澍	1512		1563		安東	安東 金	G002+AKS-KHF_12AE40C8FCFFFFB1512X0	PPL_6JOb_A1512_1_0002700	E0010533
ITKC_MI_0153A	부훤당유고	負暄堂遺稿	오상	吳祥	1512		1573		海州	海州 吳	G002+AKS-KHF_12C624C0C1FFFFB1512X0	PPL_6JOa_A1512_1_0007399	E0038316
